,prod,title,date,ver.purchase,format,stars,comments,attitude
1,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    I think I got fake UA socks from AMAZON!
  
",15-Aug-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,"My first purchase they wore out in 1-2 washes, very noticeable signs of wear and threads coming undone.  SEE PICS.The second purchase looks to be REAL UA socks are perfect after several washes.AMAZON NOTICE THE SIZE ON THE REAL PAIR?  THE SUSPECTED FAKES DO NOT HAVE IT.  LOGO ON SUSPECTED FAKES IS ALSO UNREFINED.Update:  Just sent the first set back for replacement (thinking NO WAY Amazon would F this up again and GUESS WHAT?  They did!  (see video)  ",complaint
2,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Inconsistent quality
  
",24-Jun-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,1,"          Bought these for walking/jogging. But the fabric feels thinner, un-padded  and cheaper than those I previously purchased.  They ripped easily on first use as in the attached  photo. Definitely switching to another more consistent brand.  ",complaint
3,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    not UA socks
  
",9-Nov-18,1,Number of Items: 6White/Graphite (6-pairs)Size: Medium,1,          I have purchased 6 sets of these socks over the last year all but the last set were true under armour socks.  The lateest set are not under armour socks they are knock offs.  True UA socks have the size printed on the bottom of the sock either an M or XL.  this last purchase they had no print and were not the size listed on the card board holder.  ,complaint
4,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Socks slide down - disappointing
  
",24-Jul-19,1,Number of Items: 6Petrol Blue AssortedSize: Medium,1,          These socks are comfy but they do not stay up!  Brand new socks should not creep down the first time you wear them. I am a size 9 foot for reference so it’s not like they are too big.  ,complaint
5,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Horrible quality, doubt these can be genuine Under Armour socks
  
",20-May-18,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,1,"          Extremely poor quality, coming apart at seams on first wear and threads coming loose all around and dragging. Shame on Amazon for selling these. Sadly, I discarded the packaging and now am faced with putting these in the trash and eating a loss of the money I spent on them.  ",complaint
6,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Watch our for fakes or bad quality originals
  
",25-Feb-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,2,"          I saw a review that stated the versions without the size printed on the bottom are fake. I am thinking the same. I bought a 12 pack (which is really 2 packs of 6 pairs) of the same socks and they feel super soft and feel pretty good quality. I will need to wear them for much longer to see if they are durable. They have the size printed on the bottom. I bought another 6 pack from a different seller fulfilled by Amazon, and the socks did not have the size. They also felt way less soft. There are subtle differences in the print on the socks as well. I think they are either fake or just a new or old version that is less quality than the first ones I got so I returned them.The reason I think they are fake is because Under Armour online (where I shop directly from all the time) has the socks with the size printed on the bottom. I will purchase from them.  ",complaint
7,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    UA quality going down hill.
  
",18-Apr-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,"          Apparently Under Armour quality has gone down the crapper. Bought 12 pairs of these around a year ago. Super great quality, held up wonderfully and just now showing signs of age so I figured I would buy more.And now after only a little over a month I have multiple pairs falling apart at the seams and getting holes in them. Yet the ones from a year ago are still holding together.If this is the direction UA is going I'll be done buying from them. Most of my clothes are UA and I've never seen such crap quality from them.  ",complaint
8,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Don't waist your money... total subpar product.
  
",28-Jan-20,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,1,"          These socks are awful. I will never, ever buy these again. There is no chance these are real Under Armour products. After wearing and washing only one time, the socks are super stretched out and unwearable. Strings/threads inside the socks get caught on nails when your putting them on and when you're wearing them rendering them very uncomfortable.  So between being all stretched out falling off in your shoe, threads all wound up around your toes, and non breathable fabric, these socks are a total waste of money... don't bother.  ",complaint
9,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Poor Quality. Not a real Under Armour product.
  
",7-Jun-19,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,1,"          This is my second time wearing these socks and look how much they've worn out. Very poor quality for an Under Armour product. I suspect these to be fake. The material composition listed on Amazon is different than what is on the Under Armour website. I also bought the same pair of socks but in Black. However the size isn't embroidered on the bottom as pictured in the Amazon listing. I purchased the same sock from Under Armour directly and they came with the sizes on the bottom of the sock.Update: I contacted Under Armor. They said If the product description such as the materials the socks are made out of don't match the description on the Under Armour website then I should return the product because there's probably not authentic. They also said if the product receive doesn't match the product images then they're probably not authentic. They also said that all of their socks except for kids socks will have the size embroidered on the bottom, if the ones I received from Amazon didn't, then they're not authentic. Three different indescrepancies allude to these socks being counterfeits.Look at the second picture I posted. The black sock on the left was purchased from Amazon and worn only a few times. The black sock on the right was purchased from underarmour.com and it's been more than multiple times throughout at least over a year.  ",complaint
10,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    These socks fall apart after the first wash
  
",14-Jun-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,1,"          I expected a good quality sock, because of the price and name brand.  However, the socks came with tiny holes already in them - every one of them.  Then, I washed them according to manufacturers instructions, and they came out looking pilly, and the fabric was fraying - as if they had been washed about 50 times. I was extremely disappointed in the socks. I wasted every penny of the expensive socks.  Do not waste your money buying these socks!!!!  ",complaint
